song,artist,peak_position,weeks_on_chart,date_of_charting
I'll Name The Dogs,Blake Shelton,56,20,2/3/2018
Never Enough,Loren Allred,88,4,2/3/2018
Bank Account,21 Savage,12,29,2/3/2018
Ice Tray,Quavo & Lil Yachty,74,6,2/3/2018
Attention,Charlie Puth,5,40,2/3/2018
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",46,20,2/3/2018
My Dawg,Lil Baby,71,7,2/3/2018
What Lovers Do,Maroon 5 Featuring SZA,9,22,2/3/2018
Unforgettable,French Montana Featuring Swae Lee,3,42,2/3/2018
Mi Gente,J Balvin & Willy William Featuring Beyonce,3,30,2/3/2018
No Name,NF,82,1,2/3/2018
The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",88,4,2/3/2018
Greatest Love Story,LANCO,45,21,2/3/2018
MIC Drop,BTS Featuring Desiigner,28,10,2/10/2018
Believer,Imagine Dragons,4,52,2/10/2018
CC,Migos Featuring Gucci Mane,96,1,2/10/2018
Higher We Go (Intro),Migos,83,1,2/10/2018
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",81,5,2/10/2018
Gang Gang,Migos,73,1,2/10/2018
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,23,2/10/2018
Auto Pilot,Migos,85,1,2/10/2018
Supastars,Migos,53,1,2/10/2018
Round Here Buzz,Eric Church,56,19,2/10/2018
Emoji A Chain,Migos,87,1,2/10/2018
White Sand,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",64,1,2/10/2018
Diplomatic Immunity,Drake,7,3,2/17/2018
Man Of The Woods,Justin Timberlake,73,1,2/17/2018
Like I Loved You,Brett Young,46,20,2/17/2018
Sick Boy,The Chainsmokers,65,3,2/17/2018
Supplies,Justin Timberlake,71,2,2/17/2018
BBO (Bad Bitches Only),Migos Featuring 21 Savage,48,2,2/17/2018
A Girl Like You,Easton Corbin,98,1,2/17/2018
Losing Sleep,Chris Young,60,20,2/17/2018
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,42,2/24/2018
Roll In Peace,Kodak Black Featuring XXXTENTACION,31,26,2/24/2018
Criminal,Natti Natasha x Ozuna,95,3,2/24/2018
Rewrite The Stars,Zac Efron & Zendaya,70,7,2/24/2018
Filthy,Justin Timberlake,9,6,2/24/2018
Black Panther,Kendrick Lamar,91,1,2/24/2018
Big Shot,Kendrick Lamar & Travis Scott,71,2,3/3/2018
Shape Of You,Ed Sheeran,1,59,3/3/2018
For You (Fifty Shades Freed),Liam Payne & Rita Ora,76,3,3/3/2018
I Get The Bag,Gucci Mane Featuring Migos,11,27,3/3/2018
Legends,Kelsea Ballerini,68,12,3/3/2018
Too Good At Goodbyes,Sam Smith,4,24,3/3/2018
End Game,Taylor Swift Featuring Ed Sheeran & Future,18,14,3/3/2018
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,22,3/3/2018
One Foot,WALK THE MOON,65,8,3/3/2018
Female,Keith Urban,69,6,3/3/2018
Gucci Gang,Lil Pump,3,24,3/3/2018
Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,14,3/10/2018
You Broke Up With Me,Walker Hayes,62,19,3/10/2018
Rock,Plies,95,5,3/10/2018
RONDO,6ix9ine Featuring Tory Lanez & Young Thug,73,1,3/10/2018
Yours,Russell Dickerson,49,20,3/10/2018
The Ways,Khalid & Swae Lee,63,3,3/10/2018
Kooda,6ix9ine,50,9,3/10/2018
Bodak Yellow (Money Moves),Cardi B,1,35,3/10/2018
Mayores,Becky G Featuring Bad Bunny,74,18,3/10/2018
Make Me Feel,Janelle Monae,99,1,3/10/2018
Notice Me,Migos Featuring Post Malone,52,5,3/10/2018
Want You Back,5 Seconds Of Summer,61,1,3/10/2018
KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",43,8,3/17/2018
The Champion,Carrie Underwood Featuring Ludacris,47,3,3/17/2018
Stranger Things,Joyner Lucas & Chris Brown,91,1,3/17/2018
Paramedic!,SOB X RBE,65,4,3/17/2018
Corazon,Maluma X Nego do Borel,87,9,3/17/2018
Good Old Days,Macklemore Featuring Kesha,48,20,3/17/2018
Indica Badu,Logic Featuring Wiz Khalifa,56,1,3/24/2018
BoomTrap Protocol,Logic,97,1,3/24/2018
Boom!,Lil Yachty Featuring Ugly God,88,1,3/24/2018
Contra,Logic,60,1,3/24/2018
Overnight,Logic,68,1,3/24/2018
66,Lil Yachty Featuring Trippie Redd,73,1,3/24/2018
Midnight,Logic,74,1,3/24/2018
Warm It Up,Logic Featuring Young Sinatra,98,1,3/24/2018
River,Eminem Featuring Ed Sheeran,11,13,3/24/2018
Yuck,Logic,87,1,3/24/2018
Wassup,Logic Featuring Big Sean,83,1,3/24/2018
X,"ScHoolboy Q, 2 Chainz & Saudi",49,5,3/24/2018
Sorry Not Sorry,Demi Lovato,6,36,3/24/2018
Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,25,3/24/2018
Infinity (888),XXXTENTACION Featuring Joey Bada$$,83,1,3/31/2018
Found / Tonight,Lin-Manuel Miranda & Ben Platt,49,1,3/31/2018
At The Club,Jacquees X DeJ Loaf,86,7,3/31/2018
How Long,Charlie Puth,21,24,3/31/2018
Going Down!,XXXTENTACION,95,1,3/31/2018
Young Dumb & Broke,Khalid,18,36,3/31/2018
Everybody Hates Me,The Chainsmokers,100,1,3/31/2018
Sky Walker,Miguel Featuring Travis Scott,29,26,3/31/2018
Dark Knight Dummo,Trippie Redd Featuring Travis Scott,72,7,4/7/2018
Gummo,6ix9ine,12,20,4/7/2018
Rubbin Off The Paint,YBN Nahmir,46,17,4/7/2018
Love.,Kendrick Lamar Featuring Zacari,11,40,4/7/2018
Booty,Blac Youngsta,73,5,4/7/2018
Betrayed,Lil Xan,64,20,4/7/2018
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,29,4/7/2018
Wolves,Selena Gomez X Marshmello,20,23,4/7/2018
MotorSport,"Migos, Nicki Minaj & Cardi B",6,22,4/7/2018
Pick It Up,Famous Dex Featuring A$AP Rocky,54,20,4/7/2018
44 More,Logic,22,5,4/7/2018
Echame La Culpa,Luis Fonsi & Demi Lovato,47,20,4/14/2018
Tempo,Chris Brown,88,4,4/14/2018
NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,63,4,4/14/2018
Lemon,N*E*R*D & Rihanna,36,22,4/14/2018
Nowadays,Lil Skies Featuring Landon Cube,55,13,4/14/2018
No Smoke,YoungBoy Never Broke Again,61,18,4/14/2018
Focus,H.E.R.,100,1,4/14/2018
OKRA,"Tyler, The Creator",89,1,4/14/2018
Beautiful Trauma,P!nk,78,15,4/14/2018
Written In The Sand,Old Dominion,51,20,4/14/2018
I Was Never There,The Weeknd Featuring Gesaffelstein,35,1,4/14/2018
Privilege,The Weeknd,52,1,4/14/2018
La Modelo,Ozuna x Cardi B,52,14,4/14/2018
Hurt You,The Weeknd Featuring Gesaffelstein,43,1,4/14/2018
No Roots,Alice Merton,84,3,4/21/2018
All On Me,Devin Dawson,52,20,4/21/2018
Proud,2 Chainz Featuring YG & Offset,96,2,4/21/2018
Tell Me You Love Me,Demi Lovato,53,20,4/21/2018
Broken Halos,Chris Stapleton,45,20,4/21/2018
Try Me,The Weeknd,26,2,4/21/2018
Top Off,"DJ Khaled Featuring JAY Z, Future & B",22,7,4/28/2018
Bickenhead,Cardi B,43,2,4/28/2018
Broken Clocks,SZA,82,4,4/28/2018
Lights Down Low,MAX Featuring gnash,20,28,4/28/2018
Him & I,G-Eazy & Halsey,14,20,4/28/2018
Marry Me,Thomas Rhett,30,20,4/28/2018
Bad At Love,Halsey,5,33,4/28/2018
Gotti,6ix9ine,99,1,4/28/2018
Guatemala,Swae Lee Featuring Slim Jxmmi,84,1,4/28/2018
I Fall Apart,Post Malone,16,30,4/28/2018
Get Up 10,Cardi B,38,2,4/28/2018
She's With Me,High Valley,79,8,4/28/2018
Billy,6ix9ine,50,8,4/28/2018
Wasted Times,The Weeknd,27,3,4/28/2018
Get You,Daniel Caesar Featuring Kali Uchis,93,6,4/28/2018
She Bad,Cardi B & YG,57,2,4/28/2018
Money Bag,Cardi B,58,2,4/28/2018
Let Me,Zayn,73,1,4/28/2018
Anybody,Young Thug Featuring Nicki Minaj,89,1,4/28/2018
Hardaway,Derez De'Shon,61,11,4/28/2018
Five More Minutes,Scotty McCreery,44,20,4/28/2018
Window Pain (Outro),J. Cole,41,1,5/5/2018
This Is Me,Keala Settle & The Greatest Showman Ensemble,58,14,5/5/2018
Once An Addict (Interlude),J. Cole,47,1,5/5/2018
Intro,J. Cole,53,1,5/5/2018
Friends,J. Cole Featuring kiLL edward,46,1,5/5/2018
Best Life,Cardi B Featuring Chance The Rapper,39,3,5/5/2018
Close,Rae Sremmurd & Travis Scott,98,1,5/5/2018
Thru Your Phone,Cardi B,50,3,5/5/2018
Let You Down,NF,12,28,5/5/2018
Thunder,Imagine Dragons,4,52,5/5/2018
The Long Way,Brett Eldredge,65,12,5/5/2018
Brackets,J. Cole,30,1,5/5/2018
The Cut Off,J. Cole Featuring kiLL edward,28,1,5/5/2018
Feel It Still,Portugal. The Man,4,45,5/5/2018
Wake Me Up!,Avicii,4,54,5/5/2018
Candy Paint,Post Malone,34,21,5/12/2018
Sugar Wraith,Post Malone,57,1,5/12/2018
Ye vs The People,Kanye West Featuring T.I.,85,1,5/12/2018
1985 (Intro To The Fall Off),J. Cole,20,2,5/12/2018
Motiv8,J. Cole,15,2,5/12/2018
Jonestown (Interlude),Post Malone,73,1,5/12/2018
Photograph,J. Cole,14,2,5/12/2018
Famous,Mason Ramsey,62,2,5/19/2018
Otherside,Post Malone,46,2,5/19/2018
Blame It On Me,Post Malone,47,2,5/19/2018
Diamond Teeth Samurai,YoungBoy Never Broke Again,59,5,5/19/2018
Bartier Cardi,Cardi B Featuring 21 Savage,14,20,5/19/2018
I Do,Cardi B Featuring SZA,23,5,5/19/2018
Barbie Tingz,Nicki Minaj,25,4,5/19/2018
Preach,YoungBoy Never Broke Again,98,1,5/19/2018
Same Bitches,Post Malone Featuring G-Eazy & YG,20,3,5/26/2018
Takin' Shots,Post Malone,29,3,5/26/2018
When We,Tank,78,20,5/26/2018
Zack And Codeine,Post Malone,23,3,5/26/2018
Say Something,Justin Timberlake Featuring Chris Stapleton,9,16,5/26/2018
Over Now,Post Malone,24,3,5/26/2018
Stir Fry,Migos,8,21,5/26/2018
92 Explorer,Post Malone,40,3,5/26/2018
Kevin's Heart,J. Cole,8,5,6/2/2018
Stay,Post Malone,17,4,6/2/2018
Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty,79,3,6/2/2018
Let It Sing,Kevin Gates,82,1,6/2/2018
ATM,J. Cole,6,5,6/2/2018
Change Lanes,Kevin Gates,68,1,6/2/2018
Like That,Kris Wu,73,1,6/2/2018
Champion,NAV Featuring Travis Scott,86,1,6/2/2018
Outside Today,YoungBoy Never Broke Again,31,19,6/2/2018
Southside,Lil Baby,79,1,6/2/2018
Red Roses,Lil Skies Featuring Landon Cube,69,20,6/2/2018
Sangria Wine,Pharrell Williams x Camila Cabello,83,1,6/2/2018
No Excuses,Meghan Trainor,46,12,6/2/2018
Most People Are Good,Luke Bryan,43,18,6/9/2018
If You Know You Know,Pusha T,73,1,6/9/2018
For The First Time,Darius Rucker,58,10,6/9/2018
A$AP Forever,A$AP Rocky Featuring Moby,63,2,6/9/2018
What Would Meek Do?,Pusha T Featuring Kanye West,75,1,6/9/2018
Infrared,Pusha T,65,1,6/9/2018
All The Stars,Kendrick Lamar & SZA,7,21,6/9/2018
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",21,20,6/9/2018
Dinero,Jennifer Lopez Featuring DJ Khaled & Cardi B,80,1,6/9/2018
Everyday,Logic & Marshmello,29,13,6/9/2018
Spoil My Night,Post Malone Featuring Swae Lee,15,5,6/9/2018
Ric Flair Drip,Offset & Metro Boomin,13,31,6/9/2018
The Games We Play,Pusha T,100,1,6/9/2018
Youth,Shawn Mendes Featuring Khalid,65,2,6/9/2018
Watch,Travis Scott Featuring Lil Uzi Vert & Kanye West,16,5,6/16/2018
Must've Never Met You,Luke Combs,81,1,6/16/2018
Humility,Gorillaz Featuring George Benson,85,1,6/16/2018
I Thought About Killing You,Kanye West,28,1,6/16/2018
Shoota,Playboi Carti Featuring Lil Uzi Vert,46,4,6/16/2018
Rich & Sad,Post Malone,14,6,6/16/2018
New Freezer,Rich The Kid Featuring Kendrick Lamar,41,19,6/16/2018
Lust,Lil Skies,87,4,6/16/2018
Finesse,Bruno Mars & Cardi B,3,23,6/16/2018
No Mistakes,Kanye West,36,1,6/16/2018
Paranoid,Post Malone,11,6,6/16/2018
El Farsante,Ozuna & Romeo Santos,49,20,6/23/2018
4th Dimension,KIDS SEE GHOSTS Featuring Louis Prima,42,1,6/23/2018
Babe,Sugarland Featuring Taylor Swift,72,2,6/23/2018
Cudi Montage,KIDS SEE GHOSTS,69,1,6/23/2018
Drip,Cardi B Featuring Migos,21,10,6/23/2018
Wouldn't Leave,Kanye West Featuring PARTYNEXTDOOR,24,2,6/23/2018
KIDS SEE GHOSTS,KIDS SEE GHOSTS,73,1,6/23/2018
You Make It Easy,Jason Aldean,28,20,6/23/2018
Singles You Up,Jordan Davis,50,19,6/23/2018
Violent Crimes,Kanye West,27,2,6/23/2018
"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS,62,1,6/23/2018
Fire,KIDS SEE GHOSTS,67,1,6/23/2018
Feel The Love,KIDS SEE GHOSTS,47,1,6/23/2018
Ghost Town,Kanye West Featuring PARTYNEXTDOOR,16,2,6/23/2018
Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,36,9,6/30/2018
Summer,The Carters,84,1,6/30/2018
Cop Shot The Kid,Nas Featuring Kanye West,96,1,6/30/2018
IDGAF,Dua Lipa,49,23,6/30/2018
Nice,The Carters,95,1,6/30/2018
Welcome To The Party,"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",78,4,6/30/2018
Friends,The Carters,99,1,6/30/2018
Reborn,KIDS SEE GHOSTS,39,2,6/30/2018
Pray For Me,The Weeknd & Kendrick Lamar,7,20,6/30/2018
DDU-DU DDU-DU,BLACKPINK,55,1,6/30/2018
Wait,Maroon 5,24,24,7/7/2018
Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert,74,6,7/7/2018
Havana,Camila Cabello Featuring Young Thug,1,46,7/7/2018
Numb,XXXTENTACION,80,3,7/7/2018
F**k Love,XXXTENTACION Featuring Trippie Redd,28,21,7/7/2018
Boss,The Carters,77,2,7/7/2018
Walk It Talk It,Migos Featuring Drake,10,22,7/7/2018
Hope,XXXTENTACION,70,2,7/7/2018
TATI,6ix9ine Featuring DJ SPINKING,46,5,7/7/2018
Rockstar,Post Malone Featuring 21 Savage,1,41,7/7/2018
Born To Be Yours,Kygo & Imagine Dragons,74,2,7/7/2018
Heaven,Kane Brown,15,27,7/7/2018
Powerglide,Rae Sremmurd & Juicy J,28,17,7/7/2018
"Woman, Amen",Dierks Bentley,53,12,7/7/2018
Overdose,YoungBoy Never Broke Again,42,9,7/7/2018
I Know You,Lil Skies Featuring Yung Pinch,79,3,7/7/2018
Fake Love,BTS,10,6,7/7/2018
Say Amen (Saturday Night),Panic! At The Disco,60,3,7/7/2018
Bigger > You,"2 Chainz, Drake & Quavo",53,2,7/7/2018
Plug Walk,Rich The Kid,13,20,7/7/2018
New Rules,Dua Lipa,6,48,7/7/2018
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,74,16,7/7/2018
Dura,Daddy Yankee,43,21,7/7/2018
Yikes,Kanye West,8,5,7/14/2018
Final Fantasy,Drake,56,1,7/14/2018
Everybody Dies In Their Nightmares,XXXTENTACION,42,7,7/14/2018
Japan,Famous Dex,28,15,7/14/2018
The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION,55,5,7/14/2018
Downtown's Dead,Sam Hunt,94,2,7/14/2018
I Lived It,Blake Shelton,63,18,7/14/2018
Done For Me,Charlie Puth Featuring Kehlani,53,9,7/14/2018
Ratchet Happy Birthday,Drake,51,1,7/14/2018
14-Mar,Drake,57,1,7/14/2018
Esskeetit,Lil Pump,24,12,7/14/2018
Me Niego,Reik Featuring Ozuna & Wisin,77,3,7/14/2018
That's How You Feel,Drake,37,2,7/21/2018
Cuddle My Wrist,Future,71,1,7/21/2018
Drug Addicts,Lil Pump,83,1,7/21/2018
Is There More,Drake,36,2,7/21/2018
Peak,Drake,38,2,7/21/2018
Millidelphia,Meek Mill Featuring Swizz Beatz,73,1,7/21/2018
Jaded,Drake,32,2,7/21/2018
Wifi Lit,Future,53,1,7/21/2018
Racks Blue,Future,76,1,7/21/2018
Finesse,Drake,42,2,7/21/2018
Survival,Drake,17,2,7/21/2018
Jocelyn Flores,XXXTENTACION,19,20,7/21/2018
KOD,J. Cole,10,12,7/21/2018
Sandra's Rose,Drake,27,2,7/21/2018
Summer Games,Drake,28,2,7/21/2018
Kream,Iggy Azalea Feauring Tyga,96,1,7/21/2018
Talk Up,Drake Featuring JAY-Z,20,3,7/28/2018
8 Out Of 10,Drake,21,3,7/28/2018
31 Days,Future,65,2,7/28/2018
Elevate,Drake,14,3,7/28/2018
Blue Tint,Drake,30,3,7/28/2018
Fr Fr,Wiz Khalifa Featuring Lil Skies,73,1,7/28/2018
Zombie,Bad Wolves,54,18,7/28/2018
After Dark,Drake Featuring Static Major & Ty Dolla $ign,41,3,7/28/2018
Alone,Halsey Featuring Big Sean & Stefflon Don,66,14,7/28/2018
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,66,13,7/28/2018
I Might Need Security,Chance The Rapper,60,1,8/4/2018
X,Nicky Jam x J Balvin,41,21,8/4/2018
Can't Take A Joke,Drake,18,4,8/4/2018
Emotionless,Drake,8,4,8/4/2018
Sit Next To Me,Foster The People,42,20,8/11/2018
Ball For Me,Post Malone Featuring Nicki Minaj,16,14,8/11/2018
Ocean,TK Kravitz Featuring Jacqueez,76,3,8/11/2018
One Number Away,Luke Combs,34,20,8/11/2018
Whatever It Takes,Imagine Dragons,12,27,8/11/2018
Freaky Friday,Lil Dicky Featuring Chris Brown,8,20,8/11/2018
Ocean,Martin Garrix Featuring Khalid,78,5,8/11/2018
Sober,Demi Lovato,47,3,8/11/2018
Call Out My Name,The Weeknd,4,18,8/11/2018
One Day,Logic Featuring Ryan Tedder,80,1,8/11/2018
Don't Matter To Me,Drake Featuring Michael Jackson,9,5,8/11/2018
All Mine,Kanye West,11,9,8/11/2018
Karma,Queen Naija,63,2,8/11/2018
Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,45,8,8/11/2018
Look Alive,BlocBoy JB Featuring Drake,5,25,8/11/2018
Houstonfornication,Travis Scott,53,1,8/18/2018
Skeletons,Travis Scott,47,1,8/18/2018
Could've Been,H.E.R. Featuring Bryson Tiller,76,1,8/18/2018
Coffee Bean,Travis Scott,68,1,8/18/2018
Who? What!,Travis Scott,43,1,8/18/2018
Handgun,YG Featuring A$AP Rocky,98,2,8/18/2018
Coming Home,Keith Urban Featuring Julia Michaels,50,7,8/18/2018
NC-17,Travis Scott,41,1,8/18/2018
Up Down,Morgan Wallen Featuring Florida Georgia Line,49,20,8/18/2018
Butterfly Effect,Travis Scott,50,23,8/18/2018
Astrothunder,Travis Scott,48,1,8/18/2018
I Was Jack (You Were Diane),Jake Owen,43,11,8/18/2018
Album Of The Year (Freestyle),J. Cole,87,1,8/25/2018
Have It All,Jason Mraz,90,1,8/25/2018
No Bystanders,Travis Scott,31,2,8/25/2018
Can't Say,Travis Scott,38,2,8/25/2018
Stop Trying To Be God,Travis Scott,27,2,8/25/2018
Nevermind,Dennis Lloyd,86,4,8/25/2018
Carousel,Travis Scott,24,2,8/25/2018
R.I.P Screw,Travis Scott,26,2,8/25/2018
Thought I Knew You,Nicki Minaj Featuring The Weeknd,98,1,8/25/2018
Rich Sex,Nicki Minaj Featuring Lil Wayne,56,2,8/25/2018
Ganja Burns,Nicki Minaj,60,1,8/25/2018
5% Tint,Travis Scott,36,2,8/25/2018
Majesty,Nicki Minaj Featuring Eminem & Labrinth,58,1,8/25/2018
Be Careful,Cardi B,11,20,8/25/2018
Bed,Nicki Minaj Featuring Ariana Grande,42,10,9/1/2018
Sweetener,Ariana Grande,55,1,9/1/2018
Everytime,Ariana Grande,62,1,9/1/2018
Goodnight N Go,Ariana Grande,87,1,9/1/2018
The Light Is Coming,Ariana Grande Featuring Nicki Minaj,89,2,9/1/2018
Growing Pains,Alessia Cara,65,8,9/1/2018
Chun-Li,Nicki Minaj,10,16,9/1/2018
In My Blood,Shawn Mendes,11,23,9/1/2018
R.E.M,Ariana Grande,72,1,9/1/2018
Pete Davidson,Ariana Grande,99,1,9/1/2018
Kiss Somebody,Morgan Evans,53,8,9/1/2018
Made For Now,Janet & Daddy Yankee,88,1,9/1/2018
Take Back Home Girl,Chris Lane Featuring Tori Kelly,55,12,9/1/2018
Wasted,Juice WRLD Featuring Lil Uzi Vert,67,6,9/8/2018
Changes,XXXTENTACION,18,20,9/8/2018
Unica,Ozuna,72,1,9/8/2018
Never Be The Same,Camila Cabello,6,37,9/8/2018
Happy Now,Zedd & Elley Duhe,90,1,9/8/2018
Don't Go Breaking My Heart,Backstreet Boys,63,10,9/8/2018
Level Up,Ciara,59,6,9/8/2018
This Is America,Childish Gambino,1,17,9/8/2018
Get Along,Kenny Chesney,22,21,9/8/2018
Friends,Marshmello & Anne-Marie,11,29,9/8/2018
Moonlight,XXXTENTACION,13,20,9/8/2018
Taking A Walk,Trippie Redd,46,3,9/8/2018
Sin Pijama,Becky G + Natti Natasha,70,12,9/8/2018
Mob Ties,Drake,13,8,9/8/2018
One Kiss,Calvin Harris & Dua Lipa,26,21,9/8/2018
Normal,Eminem,39,1,9/15/2018
Summertime Magic,Childish Gambino,44,5,9/15/2018
I Am Who They Say I Am,YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,69,2,9/15/2018
Stepping Stone,Eminem,42,1,9/15/2018
Nice Guy,Eminem & Jessie Reyez,65,1,9/15/2018
Good Guy,Eminem Featuring Jessie Reyez,67,1,9/15/2018
1942,G-Eazy Featuring Yo Gotti & YBN Nahmir,70,8,9/15/2018
I'm Upset,Drake,7,16,9/22/2018
Come Back To Earth,Mac Miller,91,1,9/22/2018
Greatest,Eminem,23,2,9/22/2018
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",36,21,9/22/2018
Mine,Bazzi,11,34,9/22/2018
Narcos,Migos,36,15,9/22/2018
IDOL,BTS Featuring Nicki Minaj,11,3,9/22/2018
Feels Like Summer,Childish Gambino,54,2,9/22/2018
Hurt Feelings,Mac Miller,70,1,9/22/2018
Not Alike,Eminem Featuring Royce Da 5'9,24,3,9/29/2018
Kamikaze,Eminem,16,3,9/29/2018
Pretty Little Fears,6LACK Featuring J. Cole,76,1,9/29/2018
Side Effects,The Chainsmokers Featuring Emily Warren,66,6,9/29/2018
Cry Pretty,Carrie Underwood,48,12,9/29/2018
Mercy,Brett Young,29,20,9/29/2018
Remind Me To Forget,Kygo Featuring Miguel,63,11,10/6/2018
OTW,"Khalid, Ty Dolla $ign & 6LACK",57,18,10/6/2018
Hopeless Romantic,Wiz Khalifa Featuring Swae Lee,72,7,10/6/2018
Lean Wit Me,Juice WRLD,68,8,10/6/2018
Solo,Clean Bandit Featuring Demi Lovato,58,13,10/6/2018
Stargazing,Travis Scott,8,8,10/6/2018
The Ringer,Eminem,8,4,10/6/2018
Life Changes,Thomas Rhett,36,14,10/6/2018
Perfect,Ed Sheeran,1,57,10/6/2018
All Girls Are The Same,Juice WRLD,41,20,10/6/2018
Vaina Loca,Ozuna x Manuel Turizo,94,2,10/6/2018
Apes**t,The Carters,13,15,10/6/2018
Barbie Dreams,Nicki Minaj,18,7,10/6/2018
Nice For What,Drake,1,25,10/6/2018
God's Plan,Drake,1,36,10/6/2018
Fall,Eminem,12,4,10/6/2018
Self Care,Mac Miller,33,3,10/6/2018
Hooked,Dylan Scott,48,11,10/6/2018
Dark Side Of The Moon,Lil Wayne Featuring Nicki Minaj,26,1,10/13/2018
Demon,Lil Wayne,81,1,10/13/2018
Open Safe,Lil Wayne,62,1,10/13/2018
Head Above Water,Avril Lavigne,64,2,10/13/2018
Open Letter,Lil Wayne,47,1,10/13/2018
What About Me,Lil Wayne Featuring Sosamann,24,1,10/13/2018
Dope New Gospel,Lil Wayne Featuring Nivea,90,1,10/13/2018
Took His Time,Lil Wayne,65,1,10/13/2018
Famous,Lil Wayne Featuring Reginae Carter,36,1,10/13/2018
Used 2,Lil Wayne,78,1,10/13/2018
Dope N****z,Lil Wayne Featuring Snoop Dogg,39,1,10/13/2018
Mess,Lil Wayne,74,1,10/13/2018
Rap Devil,Machine Gun Kelly,13,4,10/13/2018
Perfect Strangers,Lil Wayne,86,1,10/13/2018
Problems,Lil Wayne,57,1,10/13/2018
Hittas,Lil Wayne,59,1,10/13/2018
Let It All Work Out,Lil Wayne,75,1,10/13/2018
Start This S**t Off Right,Lil Wayne Featuring Ashanti & Mack Maine,76,1,10/13/2018
Can't Be Broken,Lil Wayne,17,2,10/20/2018
The Way I Am,Charlie Puth,61,7,10/20/2018
Belly,Lil Baby & Gunna,80,1,10/20/2018
My Blood,twenty one pilots,81,1,10/20/2018
Maybe It's Time,Bradley Cooper,93,1,10/20/2018
Deep End,Lil Baby,97,1,10/20/2018
I Am,Lil Baby & Gunna,98,1,10/20/2018
Business Is Business,Lil Baby & Gunna,61,1,10/20/2018
Let It Fly,Lil Wayne Featuring Travis Scott,10,2,10/20/2018
Jumpsuit,twenty one pilots,50,4,10/20/2018
Is That Alright?,Lady Gaga,63,1,10/20/2018
Off White VLONE,Lil Baby & Gunna Featuring Lil Durk & NAV,54,1,10/20/2018
Dedicate,Lil Wayne,14,2,10/20/2018
Nico And The Niners,twenty one pilots,79,2,10/20/2018
Don't Cry,Lil Wayne Featuring XXXTENTACION,5,3,10/27/2018
Pass Out,Quavo Featuring 21 Savage,61,1,10/27/2018
Medicine,Queen Naija,45,20,10/27/2018
Meant To Be,Bebe Rexha & Florida Georgia Line,2,52,10/27/2018
Rerun,Quavo Featuring Travis Scott,88,1,10/27/2018
Lose It,Quavo Featuring Lil Baby,100,1,10/27/2018
Simple,Florida Georgia Line,32,20,10/27/2018
Huncho Dreams,Quavo,93,1,10/27/2018
Chanel (Go Get It),Young Thug Featuring Gunna & Lil Baby,78,4,10/27/2018
Flip The Switch,Quavo Featuring Drake,48,1,10/27/2018
Biggest Alley Oop,Quavo,86,1,10/27/2018
"Sunrise, Sunburn, Sunset",Luke Bryan,35,16,10/27/2018
"If I'm Lyin, I'm Flyin",Kodak Black,56,3,10/27/2018
Thunderclouds,"Labrinth, Sia & Diplo Present... LSD",67,5,10/27/2018
Jet Lag,Future & Juice WRLD Featuring Young Scooter,72,1,11/3/2018
Africa,Weezer,51,15,11/3/2018
Get Dripped,Lil Yachty Featuring Playboi Carti,98,1,11/3/2018
No Tears Left To Cry,Ariana Grande,3,27,11/3/2018
Kiss And Make Up,Dua Lipa & BLACKPINK,93,1,11/3/2018
Vertigo,Khalid,89,1,11/3/2018
Make It Back,Juice WRLD,92,1,11/3/2018
Yacht Club,Lil Yachty Featuring Juice WRLD,91,1,11/3/2018
Astronauts,Future & Juice WRLD,82,1,11/3/2018
Suncity,Khalid Featuring Empress Of,88,1,11/3/2018
A Million Dreams,P!nk,90,1,11/10/2018
Kamikaze,Lil Mosey,97,1,11/10/2018
Break Up In The End,Cole Swindell,49,17,11/10/2018
